CITATION,TYPE,AGENCY2,LOCAL,RACE,SEX,DAYNIGHT,MPHGROUP,AGEGROUP,INTOWN,INSTATE
K0005198,T,State Police,N,B,M,night,c) 16 to 20,36-40,N,Y
K0005199,T,State Police,N,W,F,night,b) 10 to 15,36-40,Y,Y
K0005200,W,State Police,N,W,M,night,U,36-40,N,Y
K0005205,T,State Police,N,W,F,day,U,26-30,N,Y
K0005206,T,State Police,N,W,F,day,U,31-35,N,Y
K0005212,T,State Police,N,W,M,night,U,31-35,N,Y
K0005213,T,State Police,N,B,M,day,U,41-45,N,Y
K0005214,T,State Police,N,W,F,day,c) 16 to 20,31-35,N,Y
K0005219,W,State Police,N,W,M,night,b) 10 to 15,26-30,N,N
K0005221,T,State Police,N,W,M,day,U,36-40,Y,Y
K0005230,W,State Police,N,W,M,day,U,41-45,N,Y
K0005231,W,State Police,N,W,M,day,U,21-25,N,Y
K0005233,W,State Police,N,W,M,day,a) less than 10,26-30,N,Y
K0005234,W,State Police,N,W,F,day,U,26-30,N,N
K0005238,W,State Police,N,W,M,day,U,46-50,N,Y
K0005239,W,State Police,N,W,M,day,U,26-30,N,Y
K0005240,W,State Police,N,W,M,night,U,26-30,N,Y
K0005262,T,State Police,N,A,F,day,U,36-40,N,Y
K0005264,T,State Police,N,W,M,day,b) 10 to 15,46-50,N,Y
K0005265,T,State Police,N,W,M,day,c) 16 to 20,31-35,N,Y
K0005266,T,State Police,N,W,F,night,b) 10 to 15,41-45,N,Y
K0005267,T,State Police,N,W,M,day,b) 10 to 15,26-30,N,N
K0005268,T,State Police,N,H,M,night,b) 10 to 15,41-45,N,N
K0005269,T,State Police,N,W,M,day,b) 10 to 15,26-30,N,N
K0005272,T,State Police,N,W,F,day,U,26-30,N,Y
K0005281,W,State Police,N,W,F,night,U,16-20,Y,Y
K0005283,T,State Police,N,W,M,night,d) more than 20,16-20,N,Y
K0005284,T,State Police,N,W,M,night,d) more than 20,16-20,N,N
K0005285,T,State Police,N,W,F,night,c) 16 to 20,16-20,N,Y
K0005286,T,State Police,N,W,F,night,d) more than 20,21-25,N,Y
K0005288,T,State Police,N,W,M,night,c) 16 to 20,21-25,N,N
K0005289,T,State Police,N,W,M,night,c) 16 to 20,21-25,N,Y
K0005290,T,State Police,N,W,F,night,d) more than 20,16-20,N,Y
K0005293,T,State Police,N,B,M,night,c) 16 to 20,21-25,N,Y
K0005294,T,State Police,N,W,M,night,d) more than 20,21-25,Y,Y
K0005297,T,State Police,N,H,M,night,d) more than 20,66-70,Y,Y
K0005298,T,State Police,N,W,M,night,c) 16 to 20,36-40,N,N
K0005299,T,State Police,N,U,U,day,U,21-25,N,Y
K0005303,T,State Police,N,H,M,day,U,21-25,N,N
K0005318,T,State Police,N,W,M,night,c) 16 to 20,21-25,N,Y
K0005325,W,State Police,N,W,F,day,U,41-45,N,Y
K0005326,W,State Police,N,W,M,day,U,51-55,N,Y
K0005330,W,State Police,N,W,M,day,U,31-35,N,Y
K0005331,W,State Police,N,W,M,night,U,46-50,N,Y
K0005344,T,State Police,N,W,M,night,c) 16 to 20,26-30,N,Y
K0005349,T,State Police,N,W,M,day,U,26-30,N,Y
K0005350,T,State Police,N,W,F,day,b) 10 to 15,46-50,N,Y
K0005353,T,State Police,N,W,M,day,b) 10 to 15,56-60,N,Y
K0005356,T,State Police,N,W,F,day,U,26-30,N,Y
K0005357,T,State Police,N,W,F,day,U,16-20,N,Y
K0005367,T,State Police,N,B,F,night,U,51-55,N,Y
K0005381,T,State Police,N,W,M,day,b) 10 to 15,51-55,N,Y
K0005391,T,State Police,N,W,M,night,U,46-50,N,N
K0005392,T,State Police,N,W,M,night,b) 10 to 15,46-50,N,N
K0005394,T,State Police,N,W,M,night,U,36-40,N,N
K0005403,T,State Police,N,W,M,night,U,26-30,N,Y
K0005407,T,State Police,N,W,M,night,U,41-45,N,Y
K0005408,T,State Police,N,W,M,night,U,26-30,N,N
K0005409,T,State Police,N,W,F,night,b) 10 to 15,16-20,N,Y
K0005410,T,State Police,N,M,M,day,U,36-40,N,Y
K0005411,T,State Police,N,W,M,day,U,41-45,N,N
K0005416,W,State Police,N,W,M,night,U,46-50,N,Y
K0005418,T,State Police,N,H,M,night,U,26-30,Y,Y
K0005424,T,State Police,N,W,M,day,b) 10 to 15,21-25,N,Y
K0005425,T,State Police,N,B,M,day,c) 16 to 20,31-35,N,Y
K0005426,T,State Police,N,B,M,day,c) 16 to 20,41-45,N,Y
K0005427,T,State Police,N,B,M,day,b) 10 to 15,46-50,N,Y
K0005428,T,State Police,N,W,M,day,b) 10 to 15,21-25,N,Y
K0005433,T,State Police,N,W,F,day,c) 16 to 20,21-25,N,Y
K0005442,T,State Police,N,W,F,night,c) 16 to 20,26-30,N,Y
K0005448,T,State Police,N,B,M,day,U,26-30,N,Y
K0005449,T,State Police,N,M,M,night,d) more than 20,31-35,N,N
K0005454,T,State Police,N,W,F,night,d) more than 20,46-50,N,N
K0005456,T,State Police,N,W,M,night,c) 16 to 20,21-25,N,Y
K0005458,T,State Police,N,W,M,night,b) 10 to 15,31-35,N,Y
K0005467,T,State Police,N,W,M,night,U,46-50,Y,Y
K0005468,T,State Police,N,W,M,night,U,36-40,N,Y
K0005471,T,State Police,N,B,M,night,U,26-30,N,Y
K0005475,T,State Police,N,H,M,night,U,16-20,N,Y
K0005477,T,State Police,N,B,M,night,U,26-30,N,Y
K0005480,T,State Police,N,H,M,night,U,21-25,N,Y
K0005481,T,State Police,N,H,M,day,U,26-30,N,Y
K0005484,T,State Police,N,W,M,day,U,36-40,N,Y
K0005486,T,State Police,N,W,M,day,U,16-20,N,Y
K0005488,T,State Police,N,H,M,day,U,26-30,Y,Y
K0005490,T,State Police,N,W,F,night,U,31-35,N,Y
K0005491,T,State Police,N,W,M,night,U,21-25,N,Y
K0005492,T,State Police,N,W,F,night,U,41-45,N,Y
K0005493,T,State Police,N,W,M,day,U,26-30,N,Y
K0005494,T,State Police,N,A,M,day,U,36-40,N,Y
K0005496,T,State Police,N,W,F,day,U,56-60,N,Y
K0005497,T,State Police,N,B,M,night,U,36-40,N,Y
K0005499,T,State Police,N,W,M,night,U,26-30,Y,Y
K0005503,T,State Police,N,W,F,day,d) more than 20,16-20,N,Y
K0005504,T,State Police,N,W,F,day,b) 10 to 15,56-60,N,Y
K0005505,T,State Police,N,W,F,day,c) 16 to 20,21-25,N,Y
K0005508,T,State Police,N,W,M,day,c) 16 to 20,71-75,N,N
K0005510,T,State Police,N,W,F,day,b) 10 to 15,16-20,N,N
K0005514,T,State Police,N,W,F,day,c) 16 to 20,31-35,Y,Y
K0005517,T,State Police,N,W,M,day,c) 16 to 20,46-50,Y,Y
K0005520,T,State Police,N,H,M,day,U,31-35,N,Y
K0005521,T,State Police,N,W,M,day,b) 10 to 15,56-60,N,N
K0005522,T,State Police,N,W,M,day,b) 10 to 15,36-40,N,N
K0005523,T,State Police,N,W,M,day,d) more than 20,26-30,N,N
K0005524,T,State Police,N,W,M,day,c) 16 to 20,16-20,N,N
K0005525,T,State Police,N,W,M,day,c) 16 to 20,61-65,N,Y
K0005526,T,State Police,N,W,M,day,b) 10 to 15,16-20,N,N
K0005527,T,State Police,N,W,M,day,b) 10 to 15,26-30,N,N
K0005528,T,State Police,N,W,M,day,c) 16 to 20,26-30,N,N
K0005529,T,State Police,N,W,F,day,d) more than 20,36-40,N,N
K0005530,W,State Police,N,W,M,day,b) 10 to 15,36-40,N,Y
K0005532,W,State Police,N,W,M,day,b) 10 to 15,31-35,N,N
K0005534,T,State Police,N,W,M,day,c) 16 to 20,21-25,N,N
K0005537,T,State Police,N,W,F,day,c) 16 to 20,41-45,N,N
K0005538,W,State Police,N,W,M,day,b) 10 to 15,21-25,N,N
K0005539,T,State Police,N,W,F,day,d) more than 20,41-45,Y,Y
K0005540,T,State Police,N,W,M,day,U,36-40,Y,Y
K0005541,T,State Police,N,W,M,day,d) more than 20,71-75,N,N
K0005542,T,State Police,N,W,M,day,c) 16 to 20,61-65,N,N
K0005545,W,State Police,N,W,F,day,a) less than 10,21-25,N,Y
K0005547,T,State Police,N,W,M,day,U,16-20,Y,Y
K0005548,W,State Police,N,W,F,day,U,36-40,Y,Y
K0005552,W,State Police,N,W,M,day,U,41-45,N,Y
K0005553,T,State Police,N,W,M,day,U,51-55,N,Y
K0005554,T,State Police,N,W,F,day,U,51-55,N,Y
K0005555,W,State Police,N,W,M,day,U,41-45,N,Y
K0005556,W,State Police,N,W,F,day,b) 10 to 15,26-30,N,Y
K0005557,W,State Police,N,W,M,day,a) less than 10,51-55,N,Y
K0005558,W,State Police,N,W,F,day,b) 10 to 15,36-40,N,N
K0005559,T,State Police,N,W,M,day,b) 10 to 15,46-50,N,Y
K0005560,T,State Police,N,W,F,day,b) 10 to 15,56-60,N,Y
K0005564,W,State Police,N,W,M,day,U,16-20,N,Y
K0005565,W,State Police,N,W,M,day,U,21-25,N,Y
K0005567,T,State Police,N,W,M,day,U,21-25,N,Y
K0005573,T,State Police,N,M,M,day,U,41-45,N,Y
K0005575,T,State Police,N,W,F,day,c) 16 to 20,36-40,Y,Y
K0005576,T,State Police,N,W,M,day,U,36-40,N,Y
K0005577,T,State Police,N,W,M,day,U,61-65,Y,Y
K0005580,T,State Police,N,W,M,day,U,31-35,N,Y
K0005581,W,State Police,N,W,F,day,b) 10 to 15,21-25,N,N
K0005582,T,State Police,N,H,M,day,d) more than 20,21-25,N,Y
K0005583,W,State Police,N,W,M,day,b) 10 to 15,41-45,U,N
K0005584,W,State Police,N,W,M,day,b) 10 to 15,16-20,N,N
K0005586,T,State Police,N,A,M,day,d) more than 20,26-30,N,N
K0005587,W,State Police,N,W,M,day,b) 10 to 15,26-30,N,Y
K0005588,W,State Police,N,W,M,day,U,21-25,N,Y
K0005589,W,State Police,N,W,M,day,a) less than 10,41-45,N,N
K0005590,W,State Police,N,W,F,day,a) less than 10,51-55,N,N
K0005591,W,State Police,N,W,M,day,a) less than 10,16-20,N,N
K0005593,W,State Police,N,W,M,day,a) less than 10,36-40,N,Y
K0005595,T,State Police,N,A,M,day,U,36-40,N,N
K0005596,T,State Police,N,W,F,day,U,56-60,N,Y
K0005598,T,State Police,N,W,M,day,b) 10 to 15,21-25,N,N
K0005600,T,State Police,N,H,M,day,U,26-30,N,Y
K0005602,W,State Police,N,W,M,night,U,56-60,N,Y
K0005604,W,State Police,N,W,M,night,U,61-65,N,Y
K0005606,W,State Police,N,W,F,night,U,36-40,Y,Y
K0005609,W,State Police,N,W,M,night,U,26-30,N,N
K0005613,W,State Police,N,W,F,day,b) 10 to 15,21-25,N,Y
K0005614,W,State Police,N,W,M,day,a) less than 10,31-35,N,Y
K0005616,W,State Police,N,W,F,day,b) 10 to 15,26-30,N,Y
K0005618,W,State Police,N,W,M,night,b) 10 to 15,46-50,N,Y
K0005619,W,State Police,N,W,F,night,b) 10 to 15,16-20,Y,Y
K0005620,W,State Police,N,H,M,night,U,31-35,Y,Y
K0005622,T,State Police,N,W,M,night,b) 10 to 15,21-25,Y,Y
K0005623,W,State Police,N,W,M,day,U,21-25,N,Y
K0005624,T,State Police,N,W,M,day,c) 16 to 20,56-60,N,N
K0005625,W,State Police,N,W,M,night,b) 10 to 15,31-35,N,Y
K0005626,T,State Police,N,A,F,night,d) more than 20,26-30,N,N
K0005627,W,State Police,N,W,M,day,b) 10 to 15,26-30,N,Y
K0005628,T,State Police,N,W,M,night,b) 10 to 15,21-25,N,N
K0005629,W,State Police,N,W,M,night,U,16-20,Y,Y
K0005630,W,State Police,N,W,F,day,b) 10 to 15,41-45,N,N
K0005632,T,State Police,N,W,F,day,b) 10 to 15,41-45,N,N
K0005633,W,State Police,N,W,M,day,a) less than 10,41-45,N,Y
K0005634,W,State Police,N,W,M,night,U,46-50,Y,Y
K0005635,W,State Police,N,W,M,night,U,31-35,N,Y
K0005636,W,State Police,N,W,M,night,U,36-40,N,N
K0005637,W,State Police,N,W,M,night,U,46-50,N,Y
K0005639,T,State Police,N,W,M,night,b) 10 to 15,36-40,N,N
K0005640,T,State Police,N,W,M,day,b) 10 to 15,31-35,N,N
K0005641,T,State Police,N,W,M,night,b) 10 to 15,16-20,Y,Y
K0005643,W,State Police,N,W,M,night,U,31-35,N,Y
K0005644,W,State Police,N,W,M,day,U,16-20,Y,Y
K0005645,W,State Police,N,W,M,night,b) 10 to 15,26-30,N,N
K0005647,W,State Police,N,W,M,day,b) 10 to 15,36-40,N,Y
K0005651,T,State Police,N,W,F,day,b) 10 to 15,36-40,N,Y
K0005652,W,State Police,N,W,M,day,b) 10 to 15,26-30,Y,Y
K0005653,W,State Police,N,W,M,day,b) 10 to 15,51-55,N,N
K0005654,T,State Police,N,W,F,day,c) 16 to 20,36-40,Y,Y
K0005660,T,State Police,N,W,M,day,b) 10 to 15,41-45,N,N
K0005662,W,State Police,N,W,F,night,U,16-20,N,Y
K0005663,W,State Police,N,W,M,night,U,46-50,N,Y
K0005665,W,State Police,N,W,M,night,U,21-25,U,N
K0005666,T,State Police,N,W,M,night,b) 10 to 15,16-20,N,Y
K0005667,T,State Police,N,W,M,day,c) 16 to 20,21-25,N,N
K0005668,T,State Police,N,W,M,day,d) more than 20,21-25,N,N
K0005669,T,State Police,N,W,M,day,U,21-25,N,N
K0005670,T,State Police,N,W,M,day,U,21-25,N,N
K0005671,W,State Police,N,W,M,day,U,36-40,N,Y
K0005672,W,State Police,N,W,F,day,d) more than 20,41-45,N,N
K0005673,T,State Police,N,W,F,day,b) 10 to 15,36-40,N,N
K0005674,T,State Police,N,W,M,day,b) 10 to 15,16-20,N,Y
K0005677,T,State Police,N,W,M,day,b) 10 to 15,16-20,N,Y
K0005679,T,State Police,N,W,M,night,b) 10 to 15,41-45,N,N
K0005680,T,State Police,N,W,F,day,d) more than 20,46-50,N,N
K0005681,T,State Police,N,W,M,night,c) 16 to 20,36-40,N,N
K0005682,T,State Police,N,W,F,day,b) 10 to 15,31-35,N,N
K0005683,T,State Police,N,W,F,day,c) 16 to 20,16-20,N,N
K0005684,T,State Police,N,A,M,night,c) 16 to 20,21-25,N,N
K0005685,T,State Police,N,W,F,day,b) 10 to 15,51-55,N,N
K0005686,T,State Police,N,W,M,day,d) more than 20,16-20,N,N
K0005687,T,State Police,N,W,M,day,b) 10 to 15,41-45,N,N
K0005688,T,State Police,N,W,F,day,d) more than 20,16-20,N,N
K0005689,T,State Police,N,W,M,night,b) 10 to 15,26-30,N,N
K0005690,T,State Police,N,W,M,day,c) 16 to 20,26-30,N,Y
K0005691,T,State Police,N,W,F,day,b) 10 to 15,26-30,N,N
K0005692,T,State Police,N,W,F,day,b) 10 to 15,16-20,N,N
K0005693,T,State Police,N,W,M,night,U,31-35,N,N
K0005694,T,State Police,N,W,M,night,d) more than 20,56-60,N,N
K0005696,T,State Police,N,W,M,night,c) 16 to 20,21-25,N,Y
K0005698,T,State Police,N,W,M,day,b) 10 to 15,16-20,N,Y
K0005699,T,State Police,N,W,M,day,U,16-20,N,Y
K0005700,T,State Police,N,W,M,day,U,16-20,Y,Y
K0005701,T,State Police,N,W,M,night,c) 16 to 20,21-25,N,N
K0005702,T,State Police,N,W,M,night,b) 10 to 15,21-25,N,N
K0005703,T,State Police,N,W,F,night,c) 16 to 20,16-20,N,N
K0005705,T,State Police,N,W,M,night,U,21-25,N,N
K0005706,T,State Police,N,W,F,night,c) 16 to 20,16-20,N,N
K0005708,T,State Police,N,W,M,day,b) 10 to 15,31-35,N,Y
K0005710,T,State Police,N,W,F,night,d) more than 20,36-40,N,Y
K0005711,T,State Police,N,W,M,night,c) 16 to 20,21-25,N,Y
K0005713,T,State Police,N,W,M,day,c) 16 to 20,51-55,N,N
K0005714,T,State Police,N,W,M,night,b) 10 to 15,26-30,N,Y
K0005715,T,State Police,N,B,M,day,U,41-45,Y,Y
K0005720,T,State Police,N,W,M,night,U,46-50,N,Y
K0005721,T,State Police,N,W,M,day,b) 10 to 15,31-35,N,N
K0005722,T,State Police,N,W,M,day,b) 10 to 15,41-45,N,Y
K0005732,T,State Police,N,W,M,night,c) 16 to 20,41-45,N,N
K0005733,T,State Police,N,W,M,night,b) 10 to 15,26-30,N,Y
K0005734,T,State Police,N,W,M,night,c) 16 to 20,21-25,U,N
K0005735,T,State Police,N,W,M,night,b) 10 to 15,16-20,N,Y
K0005736,T,State Police,N,W,M,day,b) 10 to 15,46-50,N,Y
K0005737,T,State Police,N,W,M,day,b) 10 to 15,26-30,N,Y
K0005739,W,State Police,N,W,M,day,b) 10 to 15,31-35,N,Y
K0005740,W,State Police,N,W,M,day,c) 16 to 20,16-20,N,N
K0005741,T,State Police,N,U,M,day,c) 16 to 20,61-65,N,N
K0005742,T,State Police,N,U,M,night,c) 16 to 20,16-20,N,N
K0005743,W,State Police,N,U,F,day,U,16-20,N,N
K0005744,W,State Police,N,U,F,day,U,16-20,N,N
K0005745,T,State Police,N,U,F,day,d) more than 20,16-20,N,N
K0005746,T,State Police,N,U,M,night,c) 16 to 20,21-25,N,N
K0005747,T,State Police,N,W,M,day,d) more than 20,21-25,N,N
K0005749,T,State Police,N,U,F,day,c) 16 to 20,21-25,N,N
K0005750,T,State Police,N,W,M,day,c) 16 to 20,16-20,N,N
K0005752,T,State Police,N,U,F,night,d) more than 20,16-20,N,N
K0005753,W,State Police,N,W,F,day,U,51-55,N,N
K0005755,W,State Police,N,U,F,night,U,41-45,N,Y
K0005757,W,State Police,N,W,M,night,U,21-25,Y,Y
K0005758,W,State Police,N,W,M,night,U,31-35,N,Y
K0005759,W,State Police,N,W,F,night,U,51-55,N,Y
K0005760,T,State Police,N,W,M,day,d) more than 20,41-45,U,N
K0005762,T,State Police,N,W,M,day,d) more than 20,51-55,N,N
K0005763,T,State Police,N,W,F,night,b) 10 to 15,21-25,N,Y
K0005764,T,State Police,N,W,M,day,U,71-75,N,Y
K0005765,T,State Police,N,W,F,night,b) 10 to 15,16-20,N,Y
K0005766,W,State Police,N,H,M,day,U,21-25,N,Y
K0005769,W,State Police,N,W,F,night,U,36-40,Y,Y
K0005771,T,State Police,N,W,M,night,c) 16 to 20,36-40,N,N
K0005772,T,State Police,N,W,M,night,b) 10 to 15,26-30,N,N
K0005773,T,State Police,N,W,M,day,c) 16 to 20,16-20,N,N
K0005774,T,State Police,N,W,M,night,d) more than 20,26-30,N,N
K0005775,T,State Police,N,W,M,night,c) 16 to 20,36-40,N,Y
K0005776,W,State Police,N,W,F,day,U,31-35,N,Y
K0005777,T,State Police,N,W,M,day,d) more than 20,16-20,N,N
K0005779,T,State Police,N,W,F,night,d) more than 20,16-20,N,N
K0005782,W,State Police,N,W,F,day,a) less than 10,51-55,N,Y
K0005783,T,State Police,N,W,M,night,U,46-50,N,Y
K0005784,T,State Police,N,W,M,night,b) 10 to 15,46-50,N,N
K0005785,T,State Police,N,W,M,night,c) 16 to 20,21-25,N,Y
K0005786,W,State Police,N,W,M,day,a) less than 10,46-50,N,Y
K0005787,T,State Police,N,W,F,night,b) 10 to 15,16-20,N,N
K0005788,T,State Police,N,W,M,night,b) 10 to 15,21-25,N,Y
K0005789,T,State Police,N,W,M,night,b) 10 to 15,51-55,N,N
K0005790,T,State Police,N,W,M,night,b) 10 to 15,36-40,N,N
K0005791,T,State Police,N,W,M,night,c) 16 to 20,16-20,N,Y
K0005792,T,State Police,N,W,M,night,c) 16 to 20,16-20,N,Y
K0005794,T,State Police,N,B,M,night,b) 10 to 15,46-50,N,Y
K0005795,T,State Police,N,A,M,night,b) 10 to 15,21-25,N,N
K0005796,T,State Police,N,W,F,day,b) 10 to 15,61-65,N,N
K0005797,T,State Police,N,W,M,night,U,41-45,N,Y
K0005798,T,State Police,N,W,M,night,b) 10 to 15,51-55,N,Y
K0005800,T,State Police,N,W,F,night,b) 10 to 15,16-20,N,N
K0005801,T,State Police,N,W,M,day,d) more than 20,36-40,N,N
K0005802,W,State Police,N,B,F,day,b) 10 to 15,31-35,N,N
K0005803,T,State Police,N,W,M,day,b) 10 to 15,26-30,N,Y
K0005804,T,State Police,N,W,M,day,c) 16 to 20,51-55,N,N
K0005805,T,State Police,N,W,M,day,c) 16 to 20,21-25,N,N
K0005806,T,State Police,N,W,M,day,c) 16 to 20,16-20,N,Y
K0005807,W,State Police,N,W,M,day,U,31-35,N,Y
K0005810,T,State Police,N,W,M,day,U,26-30,N,Y
K0005811,T,State Police,N,W,M,day,d) more than 20,26-30,N,Y
K0005812,W,State Police,N,W,M,day,b) 10 to 15,21-25,Y,Y
K0005814,T,State Police,N,W,M,day,U,21-25,N,Y
K0005815,W,State Police,N,W,M,day,b) 10 to 15,21-25,U,N
K0005817,T,State Police,N,W,M,day,U,21-25,N,Y
K0005818,W,State Police,N,W,M,night,U,21-25,N,Y
K0005819,W,State Police,N,W,M,day,U,41-45,N,Y
K0005820,W,State Police,N,W,M,day,U,36-40,Y,Y
K0005824,W,State Police,N,B,M,night,U,21-25,N,N
K0005827,T,State Police,N,W,M,night,U,21-25,Y,Y
K0005829,W,State Police,N,B,M,day,U,21-25,N,Y
K0005831,T,State Police,N,W,M,day,b) 10 to 15,36-40,N,N
K0005832,W,State Police,N,W,F,day,d) more than 20,26-30,Y,Y
K0005833,T,State Police,N,W,F,day,b) 10 to 15,46-50,N,Y
K0005834,T,State Police,N,W,M,day,b) 10 to 15,36-40,N,N
K0005835,W,State Police,N,W,F,day,b) 10 to 15,41-45,N,N
K0005837,W,State Police,N,W,F,day,b) 10 to 15,31-35,N,Y
K0005838,T,State Police,N,W,M,day,c) 16 to 20,21-25,N,Y
K0005839,T,State Police,N,W,M,day,b) 10 to 15,36-40,N,Y
K0005840,W,State Police,N,W,F,day,U,26-30,N,Y
K0005841,T,State Police,N,W,M,day,b) 10 to 15,16-20,N,Y
K0005848,T,State Police,N,W,M,night,b) 10 to 15,16-20,N,Y
K0005850,T,State Police,N,W,M,night,b) 10 to 15,31-35,N,Y
K0005852,W,State Police,N,W,M,night,U,36-40,N,Y
K0005855,W,State Police,N,W,F,day,U,36-40,N,Y
K0005856,W,State Police,N,W,F,night,U,36-40,Y,Y
K0005860,W,State Police,N,W,M,day,U,26-30,Y,Y
K0005864,T,State Police,N,W,F,day,b) 10 to 15,46-50,N,Y
K0005865,T,State Police,N,W,M,day,b) 10 to 15,36-40,N,Y
K0005870,T,State Police,N,W,M,night,b) 10 to 15,26-30,N,N
K0005872,T,State Police,N,W,M,night,b) 10 to 15,46-50,N,N
K0005879,T,State Police,N,W,F,day,b) 10 to 15,21-25,N,Y
K0005880,W,State Police,N,W,M,night,c) 16 to 20,21-25,Y,Y
K0005881,W,State Police,N,W,M,night,U,26-30,N,Y
K0005883,T,State Police,N,W,M,day,c) 16 to 20,26-30,N,N
K0005884,T,State Police,N,W,M,night,b) 10 to 15,26-30,N,Y
K0005885,T,State Police,N,W,F,day,c) 16 to 20,46-50,N,N
K0005886,T,State Police,N,W,M,night,c) 16 to 20,31-35,N,N
K0005889,T,State Police,N,W,M,day,d) more than 20,31-35,N,Y
K0005890,T,State Police,N,W,M,night,d) more than 20,21-25,N,Y
K0005895,T,State Police,N,B,M,night,c) 16 to 20,26-30,N,Y
K0005897,T,State Police,N,W,M,night,b) 10 to 15,36-40,N,N
K0005898,T,State Police,N,W,M,night,c) 16 to 20,31-35,Y,Y
K0005899,T,State Police,N,W,M,night,b) 10 to 15,16-20,N,N
K0005905,W,State Police,N,W,M,night,U,26-30,N,Y
K0005907,T,State Police,N,W,M,day,b) 10 to 15,46-50,N,Y
K0005908,T,State Police,N,A,M,day,d) more than 20,31-35,N,Y
K0005909,T,State Police,N,W,M,day,c) 16 to 20,31-35,N,N
K0005910,T,State Police,N,W,M,night,U,16-20,N,N
K0005911,W,State Police,N,H,M,night,c) 16 to 20,26-30,N,Y
K0005912,T,State Police,N,W,M,night,U,16-20,N,Y
K0005917,T,State Police,N,W,M,day,U,46-50,N,N
K0005918,T,State Police,N,A,F,day,c) 16 to 20,16-20,N,Y
K0005919,W,State Police,N,W,M,day,b) 10 to 15,26-30,N,N
K0005920,T,State Police,N,W,F,day,c) 16 to 20,16-20,N,N
K0005925,W,State Police,N,W,M,night,U,46-50,N,Y
K0005928,T,State Police,N,W,M,day,c) 16 to 20,26-30,N,N
K0005929,T,State Police,N,W,M,day,b) 10 to 15,31-35,N,N
K0005930,T,State Police,N,W,M,day,d) more than 20,16-20,N,N
K0005931,T,State Police,N,W,M,day,c) 16 to 20,16-20,N,N
K0005932,T,State Police,N,W,M,day,c) 16 to 20,16-20,N,N
K0005933,T,State Police,N,W,M,day,d) more than 20,41-45,N,N
K0005934,T,State Police,N,B,F,night,d) more than 20,51-55,N,N
K0005936,T,State Police,N,W,M,night,U,16-20,N,Y
K0005937,T,State Police,N,W,M,night,d) more than 20,21-25,Y,Y
K0005939,W,State Police,N,W,M,day,U,31-35,N,Y
K0005940,T,State Police,N,W,F,night,b) 10 to 15,46-50,N,Y
K0005941,T,State Police,N,W,F,day,c) 16 to 20,21-25,N,Y
K0005942,W,State Police,N,W,M,day,U,26-30,N,N
K0005944,W,State Police,N,W,F,day,a) less than 10,26-30,N,Y
K0005945,T,State Police,N,W,M,day,b) 10 to 15,36-40,N,Y
K0005946,W,State Police,N,W,M,day,b) 10 to 15,31-35,N,N
K0005947,W,State Police,N,W,F,day,a) less than 10,51-55,N,N
K0005950,T,State Police,N,W,M,day,U,31-35,N,N
K0005957,T,State Police,N,W,M,day,c) 16 to 20,26-30,N,N
K0005960,W,State Police,N,W,M,day,U,16-20,N,Y
K0005961,T,State Police,N,W,M,day,U,71-75,N,Y
K0005962,T,State Police,N,W,M,day,d) more than 20,16-20,N,Y
K0005965,W,State Police,N,W,M,day,c) 16 to 20,71-75,N,N
K0005967,W,State Police,N,W,M,night,b) 10 to 15,41-45,N,N
K0005969,T,State Police,N,W,M,night,b) 10 to 15,51-55,N,N
K0005970,T,State Police,N,W,F,night,b) 10 to 15,21-25,N,Y
K0005973,T,State Police,N,W,M,day,d) more than 20,16-20,N,Y
K0005977,W,State Police,N,W,M,day,U,66-70,N,Y
K0005978,W,State Police,N,U,M,day,b) 10 to 15,31-35,N,Y
K0005979,W,State Police,N,W,M,day,b) 10 to 15,51-55,N,N
K0005980,T,State Police,N,W,M,night,d) more than 20,21-25,N,N
K0005981,W,State Police,N,W,M,night,b) 10 to 15,21-25,N,N
K0005983,T,State Police,N,W,M,night,b) 10 to 15,46-50,N,N
K0005984,T,State Police,N,W,F,night,c) 16 to 20,31-35,N,Y
K0005986,W,State Police,N,W,F,night,b) 10 to 15,26-30,N,N
K0005987,T,State Police,N,A,M,night,U,16-20,N,Y
K0005988,W,State Police,N,W,M,night,U,51-55,N,Y
K0005989,T,State Police,N,W,F,night,U,21-25,N,Y
K0005991,W,State Police,N,W,M,night,b) 10 to 15,41-45,Y,Y
K0005992,W,State Police,N,W,M,night,b) 10 to 15,16-20,N,Y
K0005993,W,State Police,N,W,F,night,b) 10 to 15,21-25,Y,Y
K0005994,T,State Police,N,W,F,night,b) 10 to 15,16-20,N,N
K0005996,T,State Police,N,U,M,day,b) 10 to 15,56-60,N,N
K0005997,W,State Police,N,W,F,night,b) 10 to 15,31-35,N,N
K0005999,T,State Police,N,W,M,night,U,26-30,N,Y
K0006000,T,State Police,N,W,F,day,U,21-25,N,N
K0006002,T,State Police,N,H,F,night,U,36-40,Y,Y
K0006005,T,State Police,N,B,F,night,U,21-25,Y,Y
K0006008,W,State Police,N,W,F,night,b) 10 to 15,36-40,N,N
K0006012,T,State Police,N,W,M,day,U,61-65,Y,Y
K0006013,T,State Police,N,W,M,night,U,21-25,N,Y
K0006014,W,State Police,N,W,F,day,U,31-35,Y,Y
K0006022,T,State Police,N,H,M,night,b) 10 to 15,26-30,N,Y
