CITATION,TYPE,AGENCY2,LOCAL,RACE,SEX,DAYNIGHT,MPHGROUP,AGEGROUP,INTOWN,INSTATE
K0002183,W,State Police,N,W,M,day,U,61-65,Y,Y
K0002184,T,State Police,N,W,F,day,U,51-55,N,Y
K0002186,T,State Police,N,W,M,day,U,21-25,N,Y
K0002188,W,State Police,N,W,F,day,U,66-70,N,Y
K0002189,W,State Police,N,W,F,day,U,46-50,N,Y
K0002190,T,State Police,N,W,M,day,U,56-60,N,N
K0002191,W,State Police,N,W,F,day,b) 10 to 15,31-35,N,N
K0002192,W,State Police,N,W,M,day,b) 10 to 15,61-65,N,Y
K0002193,W,State Police,N,W,M,day,b) 10 to 15,31-35,N,N
K0002194,W,State Police,N,W,M,day,b) 10 to 15,41-45,N,N
K0002195,W,State Police,N,W,M,day,b) 10 to 15,66-70,N,N
K0002196,W,State Police,N,W,M,day,b) 10 to 15,41-45,N,Y
K0002197,W,State Police,N,W,M,day,b) 10 to 15,61-65,N,Y
K0002198,W,State Police,N,W,F,day,U,26-30,N,Y
K0002199,W,State Police,N,W,M,day,U,36-40,Y,Y
K0002200,W,State Police,N,W,F,day,U,71-75,Y,Y
K0002201,W,State Police,N,W,M,day,a) less than 10,21-25,N,N
K0002202,W,State Police,N,W,M,night,U,16-20,N,Y
K0002204,T,State Police,N,W,F,day,U,21-25,N,Y
K0002205,W,State Police,N,W,M,day,U,31-35,N,Y
K0002207,W,State Police,N,B,M,day,U,26-30,N,Y
K0002208,W,State Police,N,W,F,day,U,46-50,Y,Y
K0002209,W,State Police,N,A,M,night,b) 10 to 15,26-30,N,N
K0002210,W,State Police,N,W,F,day,U,31-35,N,N
K0002211,W,State Police,N,W,M,day,U,26-30,Y,Y
K0002212,W,State Police,N,W,M,day,U,21-25,N,Y
K0002213,W,State Police,N,W,F,day,U,31-35,N,Y
K0002214,W,State Police,N,W,F,day,U,31-35,N,N
K0002217,W,State Police,N,W,M,night,U,16-20,N,Y
K0002219,W,State Police,N,W,F,day,U,16-20,N,Y
K0002220,T,State Police,N,W,F,day,b) 10 to 15,16-20,N,Y
K0002221,W,State Police,N,W,F,night,U,51-55,N,Y
K0002222,W,State Police,N,W,F,night,U,46-50,N,Y
K0002224,W,State Police,N,W,M,night,U,41-45,N,Y
K0002225,W,State Police,N,W,M,night,U,46-50,N,Y
K0002229,W,State Police,N,W,M,night,U,46-50,N,Y
K0002230,W,State Police,N,W,M,night,U,21-25,N,Y
K0002233,T,State Police,N,W,M,day,U,41-45,N,Y
K0002236,T,State Police,N,W,F,night,d) more than 20,21-25,N,Y
K0002240,W,State Police,N,W,M,day,U,31-35,N,Y
K0002241,W,State Police,N,W,M,night,U,36-40,N,Y
K0002242,T,State Police,N,W,M,night,d) more than 20,16-20,Y,Y
K0002243,W,State Police,N,W,F,night,U,51-55,Y,Y
K0002244,W,State Police,N,W,M,night,U,46-50,Y,Y
K0002247,W,State Police,N,H,M,night,U,21-25,Y,Y
K0002248,W,State Police,N,W,F,night,U,26-30,Y,Y
K0002250,T,State Police,N,W,M,night,d) more than 20,31-35,N,Y
K0002252,T,State Police,N,W,M,night,U,31-35,N,N
K0002254,W,State Police,N,W,M,night,b) 10 to 15,26-30,N,Y
K0002256,W,State Police,N,W,F,night,b) 10 to 15,16-20,N,N
K0002257,W,State Police,N,W,M,night,U,21-25,N,Y
K0002264,T,State Police,N,W,M,day,d) more than 20,16-20,N,Y
K0002265,T,State Police,N,W,F,night,U,16-20,Y,Y
K0002266,W,State Police,N,W,F,day,U,51-55,N,Y
K0002268,T,State Police,N,W,F,day,a) less than 10,51-55,N,N
K0002269,T,State Police,N,W,M,day,c) 16 to 20,31-35,N,N
K0002270,T,State Police,N,W,M,night,a) less than 10,56-60,N,N
K0002271,T,State Police,N,W,F,day,c) 16 to 20,46-50,N,Y
K0002272,W,State Police,N,W,F,night,U,31-35,N,Y
K0002273,T,State Police,N,W,M,day,U,51-55,Y,Y
